iteration,1,2,3,4
560,15450,17494,46126,222
561,15445,17494,46111,220
562,15440,17488,46176,219
563,15437,17482,46207,216
564,15434,17479,46216,216
565,15426,17465,46308,215
566,15421,17459,46331,215
567,15414,17452,46373,213
568,15408,17447,46370,213
569,15406,17443,46425,213
570,15405,17440,46465,212
571,15403,17435,46513,207
572,15404,17435,46570,206
573,15404,17436,46546,204
574,15404,17436,46552,202
575,15403,17435,46567,203
576,15403,17433,46578,200
577,15404,17433,46602,197
578,15404,17432,46627,198
579,15403,17433,46629,195
580,15403,17432,46637,197
581,15404,17430,46642,195
582,15405,17430,46669,194
583,15405,17429,46688,194
584,15406,17429,46711,194
585,15405,17427,46715,193
586,15405,17426,46704,190
587,15406,17426,46688,187
588,15404,17427,46699,185
589,15405,17429,46704,183
590,15404,17427,46713,183
591,15405,17427,46704,181
592,15404,17428,46694,180
593,15405,17426,46707,177
594,15406,17426,46710,176
595,15408,17426,46691,174
596,15407,17426,46699,172
597,15407,17426,46716,172
598,15407,17423,46722,172
599,15405,17423,46705,172
600,15403,17424,46715,169
601,15405,17424,46716,170
602,15405,17426,46718,168
603,15404,17425,46730,167
604,15404,17423,46725,167
605,15405,17424,46737,163
606,15405,17423,46721,158
607,15404,17423,46722,156
608,15405,17423,46733,154
609,15406,17423,46711,153
610,15406,17423,46709,153
611,15407,17422,46709,151
612,15408,17424,46712,148
613,15408,17422,46724,145
614,15406,17420,46705,145
615,15406,17420,46716,145
616,15407,17420,46720,143
617,15406,17420,46718,143
618,15404,17422,46693,137
619,15404,17421,46683,137
620,15404,17422,46696,135
621,15403,17421,46687,133
622,15405,17420,46710,130
623,15407,17420,46707,129
624,15407,17421,46694,128
625,15409,17422,46691,129
626,15410,17421,46705,130
627,15410,17420,46732,130
628,15411,17421,46695,129
629,15410,17418,46692,126
630,15407,17415,46700,126
631,15408,17415,46679,125
632,15408,17415,46679,123
633,15408,17412,46670,124
634,15409,17411,46656,123
635,15407,17410,46640,122
636,15408,17410,46590,122
637,15408,17410,46591,123
638,15408,17407,46575,123
639,15407,17405,46539,124
640,15402,17405,46511,124
641,15402,17408,46496,124
642,15400,17408,46453,122
643,15397,17405,46420,121
644,15393,17407,46374,120
645,15386,17407,46363,120
646,15382,17402,46346,120
