iteration,1,2,3,4,5
541,3625,4363,2,37822,3821
542,3578,4328,2,37503,3778
543,3519,4277,2,37129,3728
544,3467,4209,2,36778,3647
545,3354,4127,2,36492,3569
546,3244,4007,3,36188,3475
547,3117,3878,2,35850,3313
548,2984,3780,2,35584,3164
549,2862,3633,2,35443,3031
550,2768,3512,3,35258,2916
551,2659,3371,2,35118,2817
552,2531,3230,2,35108,2687
553,2438,3103,2,35051,2557
554,2355,3008,2,34951,2472
555,2263,2895,1,34847,2393
556,2177,2772,0,34838,2342
557,2104,2676,0,34771,2240
558,2025,2578,0,34797,2176
559,1960,2504,1,34842,2120
560,1895,2437,1,34864,2068
561,1845,2376,1,34805,1999
562,1795,2308,0,34782,1931
563,1756,2250,1,34781,1896
564,1757,2215,1,34825,1851
565,1733,2196,2,34866,1809
566,1705,2186,3,34845,1763
567,1679,2172,3,34802,1730
568,1656,2157,3,34764,1715
569,1640,2146,3,34754,1719
570,1624,2141,3,34705,1729
571,1602,2118,3,34733,1721
572,1580,2095,5,34700,1705
573,1541,2081,3,34764,1697
574,1537,2098,1,34731,1701
575,1528,2111,3,34695,1690
576,1530,2121,4,34681,1686
577,1530,2099,3,34671,1681
578,1534,2104,4,34670,1675
579,1533,2102,4,34679,1681
580,1548,2112,3,34633,1681
581,1566,2113,2,34589,1700
582,1581,2129,3,34549,1703
583,1585,2130,3,34542,1707
584,1593,2143,2,34501,1697
585,1594,2160,3,34485,1694
586,1609,2172,2,34508,1701
587,1598,2182,4,34530,1705
588,1607,2199,4,34512,1703
589,1623,2210,4,34487,1708
590,1630,2218,3,34498,1717
591,1650,2231,2,34461,1744
592,1676,2242,2,34413,1754
593,1696,2252,3,34408,1769
594,1723,2279,3,34402,1784
595,1729,2292,2,34375,1806
596,1751,2317,2,34404,1795
597,1751,2324,2,34450,1792
598,1761,2348,3,34443,1810
599,1784,2357,3,34431,1814
600,1814,2398,2,34395,1832
601,1821,2448,3,34389,1840
602,1841,2478,3,34387,1834
603,1853,2524,2,34378,1844
604,1871,2546,1,34387,1851
605,1898,2586,1,34401,1865
606,1910,2608,2,34375,1889
607,1921,2626,2,34362,1891
608,1949,2646,1,34407,1886
609,1973,2700,2,34396,1923
610,2001,2742,2,34314,1958
611,2015,2747,4,34317,1978
612,2050,2775,3,34313,2006
613,2067,2819,3,34278,2020
614,2099,2858,3,34246,2056
615,2138,2894,4,34213,2080
616,2170,2934,3,34179,2097
617,2197,2972,4,34173,2112
618,2220,3018,4,34168,2135
619,2235,3047,4,34157,2140
620,2262,3081,4,34144,2151
621,2296,3110,4,34133,2163
622,2327,3138,4,34104,2186
623,2374,3178,4,34080,2210
624,2383,3214,5,34009,2246
625,2400,3245,5,33999,2259
626,2425,3292,6,33916,2287
627,2442,3334,7,33843,2308
628,2474,3357,7,33793,2323
629,2492,3421,7,33738,2348
630,2523,3457,7,33689,2368
631,2536,3493,7,33639,2391
632,2568,3511,7,33574,2412
633,2598,3551,7,33493,2445
634,2607,3575,7,33441,2472
635,2632,3598,6,33408,2491
636,2642,3612,7,33359,2524
637,2674,3628,9,33272,2535
